id,grade,public
sVLxe6JXJJ.jpg,1+,0
dOYMQKHfpS.jpg,1,0
gb9WAHG1kq.jpg,1++,0
fkh92IiU7R.jpg,1+,1
YPb2itGH9U.jpg,2,0
sIhMnSWgTh.jpg,1++,0
T6GLw7u5SR.jpg,2,0
J6NEx7YVlZ.jpg,1++,0
NUCU0XF3M8.jpg,2,0
DmzM16DFSK.jpg,1++,0
LPao2NSgEE.jpg,2,0
XV8MoHvoE5.jpg,1++,0
5w2HSIB2kO.jpg,1+,0
Kw31AAVIm9.jpg,1+,0
WU0kJ56c5k.jpg,2,1
JiyaDCBKDH.jpg,1++,0
KM864YxJmI.jpg,1++,1
81URdbybq7.jpg,1+,0
N3JYXKDx3i.jpg,1+,0
fNsxZgGpT4.jpg,1+,0
bSTVhtygP9.jpg,1++,0
ttbiexFNIe.jpg,1++,1
O34yj39I0e.jpg,1+,0
HvLWmdfOFi.jpg,1++,1
R656QDJGj0.jpg,1,0
H8Xz7nLZO0.jpg,2,0
KqjlbZIgJy.jpg,1+,1
LEtSgsUK4T.jpg,1++,0
PjkcIHmYEQ.jpg,1++,1
1BU3IQMbOn.jpg,1++,0
Gn1MSd1mGs.jpg,1,0
jp9pAixewm.jpg,3,1
hREIjcM8wq.jpg,1+,0
5BpURnA3u3.jpg,1+,0
A4SfYohXb7.jpg,1,1
bHwS8KiDyA.jpg,2,0
lZHEPxp86e.jpg,1+,0
nKQ55X1ffE.jpg,1++,0
gHn8mEecGH.jpg,1++,0
GfaC4utJ1V.jpg,1,0
dbPhrWFJfC.jpg,1++,0
NBayKTe5P8.jpg,1+,0
GH2BbpKG6f.jpg,1,0
nONmYyiXmX.jpg,1++,0
Ppm6h78j46.jpg,1+,0
bbpyGZLgLV.jpg,1,0
sZWfBYbTPv.jpg,1,0
jgnvvr1ZKs.jpg,2,0
2aIBvkC4Qq.jpg,2,0
INHzCoviTF.jpg,1++,0
5tVkSVCpyP.jpg,1++,0
3ZKgeWCG4K.jpg,2,1
R28kuBk1ij.jpg,1+,0
k4Ob8WAFqU.jpg,1++,0
66n9awYb7s.jpg,1+,0
RHCqgPUXRc.jpg,1,0
Xiw6qBXcFX.jpg,1++,0
11lDIkU3iW.jpg,1++,0
wJlPOm8ZAd.jpg,1++,1
4HjKZo5PxF.jpg,1++,0
xdMNoG6t12.jpg,1+,1
D2pGzcwbYD.jpg,1+,1
yCxedYjBMt.jpg,1++,1
83Kw6zijwD.jpg,1+,1
7DBgM8pz87.jpg,1,0
Eoc0353TzP.jpg,1++,0
2LUgQ4nSKD.jpg,1++,0
VbLqIQ3UBM.jpg,1++,0
1dDGSsXLxI.jpg,2,0
MixPruvpv1.jpg,2,0
mmWc0fRuVj.jpg,1,0
bE3h5t71Qy.jpg,1+,0
cob1t0xqTZ.jpg,1,1
J6MDLxu2uz.jpg,1+,0
91nWWcHFjs.jpg,1+,1
JeB7ye6eEB.jpg,1++,0
OKg7433XwZ.jpg,1,0
lOTd4hSUTf.jpg,1+,0
WnJRDzmMS0.jpg,1+,0
7E6caxMhY0.jpg,1+,0
AyxR0aGTmJ.jpg,1++,0
SGPMN5sWXl.jpg,1+,1
NF2iYF1yvg.jpg,1+,0
s2aowbBffk.jpg,1+,0
GacsEmGdyG.jpg,1,0
pjTQwemIKS.jpg,1++,0
O3KVkHDijz.jpg,3,0
YMvhOreQNc.jpg,1,1
iIwx0eM9fz.jpg,1,0
C75XL2o8cr.jpg,1++,0
9dZSm0gb9a.jpg,1,0
tbFQ6EZ0Ip.jpg,1+,0
khQLQ9JCTb.jpg,1+,1
SoPCDqBfof.jpg,3,1
KdjhgZBPBs.jpg,1+,0
UNrjGE6BhW.jpg,1+,1
XbLsOjRWi4.jpg,1,1
cHa7SOFIJG.jpg,1+,1
U2Qbjpc2K6.jpg,1+,0
dYs8drq0f6.jpg,1++,0
6tQjf3aHPr.jpg,1+,1
roO2n0PKJa.jpg,1++,0
kSyb5XB5p4.jpg,1++,1
jUR2YVecwM.jpg,1++,0
wYPpvYsTZD.jpg,1++,0
W0Wk33Y588.jpg,1,0
7opyQtbQ5q.jpg,1,0
8JsqhvSMft.jpg,2,0
F1GswHXGQO.jpg,1,0
SGbJZYGvo3.jpg,1++,0
UWknRM8AgH.jpg,1+,1
DYfnEbzvMs.jpg,1++,1
D1aIX0hH2o.jpg,1+,0
Fx7kph98Uc.jpg,1++,0
Y9NiVITGk9.jpg,1+,0
8r7rlksbPp.jpg,3,0
d83Y1jM1fv.jpg,2,0
VIgbdWdqpk.jpg,2,0
x7UwNRCG9c.jpg,1+,0
bfWUDZ3ebX.jpg,1++,0
FruqPtDuOK.jpg,1+,0
pIydVjYSyG.jpg,1+,0
aM04hKbwTe.jpg,1,0
YGVtS6OPEd.jpg,1++,1
Fa2dhad9D8.jpg,1+,1
uQN4H1fyiW.jpg,1++,0
nEC4RGHShW.jpg,1++,0
H8gPdUk5ZI.jpg,3,0
DAtd2M9vwN.jpg,1+,0
4qedHJx04B.jpg,1,0
wDz5PiPSdp.jpg,1,0
Ltb66OzCbA.jpg,3,0
YQ7EvlUcCU.jpg,1,1
A5sTji5deC.jpg,1+,0
ut5Re5idmB.jpg,2,1
1Lzs4O1nN3.jpg,1+,0
XVaypl3HJp.jpg,1,1
YWsq4wWS06.jpg,1,0
3BSkkIHdmI.jpg,1+,0
gaBuIXBlyF.jpg,1+,1
2PqTB8yzxm.jpg,1++,0
sGgsTbjgpj.jpg,1+,0
Ytd8ihuexS.jpg,3,0
axv4VFHZiW.jpg,1,0
sE45GXzDA6.jpg,1++,0
S4X5gQQzDN.jpg,1++,0
YOduwiOLLA.jpg,2,0
XB9B8AJazY.jpg,1++,0
ZlqIuK0Td1.jpg,1+,1
ak9uBqJeSs.jpg,1,0
McGNCUtc5u.jpg,1++,0
z9GVAXisAv.jpg,1+,1
FGLmq6uRHm.jpg,1,0
z3qyxVsFXX.jpg,1,0
i9hcVtv4az.jpg,1++,0
F6fHgq6qyS.jpg,1++,1
mfsKlnqTPo.jpg,1,0
rxkTDFC7Wr.jpg,2,0
tKTd0Te0En.jpg,1,0
quFCwhsuag.jpg,1,0
vNkypWNjjA.jpg,1+,0
UhLjRYVDP1.jpg,3,0
iDZ0KxFU90.jpg,2,0
KUFpIUXzxL.jpg,3,0
hqqAZA5GQi.jpg,1,0
WKVYp83Zhp.jpg,1+,1
oxJWruzF5C.jpg,3,0
4P2XIT0dNV.jpg,1++,0
wgdRFtSngO.jpg,1,1
XgWV6sYHTa.jpg,3,1
IDax2fY5fB.jpg,1+,1
bXZ2g5wnuq.jpg,1++,0
7RM3uRZ0MN.jpg,1+,0
D9YXBseclY.jpg,2,0
h6gRBjNydp.jpg,1++,0
U8CByjxd2o.jpg,1,0
Be0l21YgNt.jpg,1++,0
U1E0gYKp9N.jpg,1+,0
8Z1ibKL22D.jpg,1++,0
bbC0XbQe2L.jpg,3,0
SfGDhIUavZ.jpg,1++,0
NaeVCbh8wv.jpg,1,0
ehqe7xipb9.jpg,1++,0
LTV9itkUo7.jpg,1,0
gTMFwnJVZ2.jpg,1,1
MteA0Iy3Wd.jpg,3,0
bFmNBXcH4w.jpg,1+,0
42UiJD5nPi.jpg,2,1
9SNgSoFXB3.jpg,2,0
4g6T1K5uNm.jpg,1++,0
RGNVloEhIQ.jpg,1,0
jfF8F5IIHM.jpg,1+,1
hMPCOSDtF4.jpg,1+,0
mTS3A2D7Sr.jpg,1+,0
VW6cYDj1cN.jpg,2,0
Nln5MAQ3Yf.jpg,1+,0
GRUf74ZJsE.jpg,1++,1
VGsK5ivnlq.jpg,1,1
h25Dk39MRv.jpg,1++,0
doFUoCirTl.jpg,1++,0
1BWnZ7ugYA.jpg,2,0
5bQnNAV2G3.jpg,1+,1
WT4JX3fTaB.jpg,2,0
wsTkDe9mjE.jpg,1++,1
s0DbDhaR9m.jpg,1+,1
aG2X9qf75k.jpg,1,0
addhBGd8Ae.jpg,1++,1
3YnJt3Nunr.jpg,1+,0
l0IS1gEuHT.jpg,1+,0
bIRuUWZdSL.jpg,1,1
1vyx83E57o.jpg,2,0
lhloQXNFJ4.jpg,2,0
5jft6N5p7O.jpg,1++,1
sW2uCgW59L.jpg,1+,0
4HCqVQSsBV.jpg,2,0
8CKcCYl6p5.jpg,1+,1
7ZpVn7VCdE.jpg,1++,0
ui6gZFinRH.jpg,1,0
eyo9lzOYzP.jpg,3,1
VcfAKdfhBX.jpg,2,0
quFZGSyg6M.jpg,1++,0
U1cGwkfaEV.jpg,1++,1
UoKtOglD2E.jpg,1+,0
tgEZna82VJ.jpg,1++,1
uhbHc5d5J3.jpg,1,0
sBiDrpaWS5.jpg,1++,0
n9iCIlSr7z.jpg,3,0
cYWWtwGcfM.jpg,1++,0
gi3eR1mmHu.jpg,2,0
n9GOnm4MTf.jpg,1+,1
2ehl2aH7zO.jpg,1+,0
v3ENMe7I6y.jpg,1,0
xcStBuNHTL.jpg,2,0
zcdwSCWP9P.jpg,1,0
