id,leaktype,public
gAbuQeZQCm,normal,0
4xtuwcJQI7,out,0
2LgOPmQb8u,normal,0
b6zEYLjs7Y,out,0
yaYY68O0xX,normal,0
Cm51xFfx5T,in,0
PhMYzxaU8g,out,1
mQC0fIQitv,normal,0
Z57MnxcNXU,noise,0
RscbyT87rY,normal,0
QzTd4Ns2II,other,0
6MSjZ1ewOY,in,0
bmfy4Tannr,in,1
vfdwg02Dsh,noise,0
jhidwPjU6O,out,0
xBhzs3SyPm,out,0
b82vRwcOao,out,0
BG3Ur3pTTJ,in,0
10SK0JNs1m,out,0
uLm7lCYrkH,normal,0
6WCSBtvP9g,out,0
UhuoUIat95,out,0
9jlO0EgrIa,other,0
Y44UycEco1,out,0
S8dEqv7W4K,other,0
Dj5m0mfn0V,out,0
UX54eNFpZt,normal,1
1YcETnAHiV,normal,0
JHgK0L6nWT,normal,1
MvJq8QDASn,out,0
zHFaTV6pAC,normal,1
Xuyklt0UH1,in,0
Koo1NBhhwF,normal,0
ZCz6sNmm0I,out,0
MvYzuy0ZLT,in,0
DxinMZ41Ay,normal,1
OqI498eVuz,out,0
gFazROeaEE,normal,1
zXFGosRQjF,normal,1
Izwrv7W3Oy,other,1
BO7Ukihtm9,out,1
mEj5pWRmwy,normal,0
Pm3Hv0TlfL,normal,0
Fo3ZK1KZo4,out,0
kX2pdWFnzR,in,0
zztPrXJcC2,in,0
0uZs4C1XjE,normal,0
8UBh5NjxeN,normal,0
2B3azlGI5i,out,0
NbOiCNVISr,other,0
F2UhSlE8Bv,out,1
vNMOh1sbry,in,0
qAeZuW1XLd,out,0
c2784Lidsq,out,1
voKJJJoRA2,normal,0
VYR4Pu2sth,in,0
q25wklu10X,in,1
pxnBf8dsD9,in,0
zmJssuwFbe,normal,0
8V2SvnGIrd,out,1
TSeaYG9WSU,normal,1
NmWJvOFlEF,normal,0
lTl1tIHEP1,out,1
fypHtRrZi9,normal,0
RqLwVPOntJ,normal,0
o5g0Td4Ixe,noise,0
EOQoWsK2H6,normal,0
zLa3nrc6Jd,out,1
W9IyQfEAZO,out,0
VbUSQiftIm,out,0
qoUioEW8b5,out,1
0k7noJ8QKJ,out,1
VQtt2kBtEW,normal,0
jgXeHjuSrq,out,0
xGeiZuyr8h,in,0
Jfr0JgrMJc,out,0
SXHiJ67B4s,in,0
IAnpcRorND,normal,0
80Yr8OGkU7,out,1
56c5IYG9LW,normal,1
ruzZe0C3el,out,1
dEuJnneyqf,normal,0
DZPtn6Amwo,out,0
f8qDUK2BE0,normal,1
2Wf8bZeK8y,out,0
